asset_id,canonical_name,asset_type,address_text,current_pnu,match_status,proposed_pnu,matched_address,matched_category,match_score,match_reasons,longitude,latitude,updated_rows
ast_a8f90f516d21,CJ제일제당센터,오피스,서울특별시 중구 동호로 330,,safe,1114014700102920000,쌍림동 292,road,11,token:서울특별시;token:중구;token:동호로;lot:330,127.00329339488836,37.56400916554933,1
ast_2382027b08d5,비취정보기술,,양양군 현남면 정자리,,safe,5183034025100010000,강원특별자치도 양양군 현남면 정자리 1,parcel,8,token:양양군;token:현남면;token:정자리,128.74025046783174,37.96880685402323,1
ast_3e6ab9503501,두산빌딩,오피스,서울시 강남구 언주로 726(논현동),,safe,1168010800101050007,논현동 105-7,road,11,token:강남구;token:언주로;token:논현동;lot:726,127.03519746408392,37.51938193705722,1
ast_0e81972e2bec,판교아이스퀘어D동,오피스복합,경기도 성남시 수정구 창업로 17,,safe,4113111500103390000,시흥동 339,road,13,token:경기도;token:성남시;token:수정구;token:창업로;lot:17,127.09783108148085,37.41201391397718,1
ast_4e209ca0367c,판교아이스퀘어E동,오피스복합,경기도 성남시 창업로 17,,safe,4113111500103390000,시흥동 339,road,11,token:경기도;token:성남시;token:창업로;lot:17,127.09783108148085,37.41201391397718,1
ast_47cfb7af7038,서울로타워,오피스,서울특별시 중구 퇴계로18,,safe,1114012800100050002,남산동1가 5-2,road,11,token:서울특별시;token:중구;token:퇴계로18;lot:18,126.98502959945667,37.56042126526704,1
ast_62cb735c467e,판교아이스퀘어C1블럭상업및숙박시설,오피스복합,경기도 성남시 수정구 창업로 18,,safe,4113111500103220000,시흥동 322,road,13,token:경기도;token:성남시;token:수정구;token:창업로;lot:18,127.09839492511128,37.41343433209822,1
ast_e7e65d3bc117,역삼AP타워,오피스,서울시 강남구 테헤란로 218,,safe,1168010100107190001,역삼동 719-1,road,9,token:강남구;token:테헤란로;lot:218,127.04041440137365,37.501500422841836,1
ast_0595e7f4dccc,동서발전,,경상북도 예천군 은풍면 부초리 산44,,safe,4790043029200440001,경상북도 예천군 은풍면 부초리 산 44-1,parcel,10,token:경상북도;token:예천군;token:은풍면;token:부초리,128.4504957094249,36.728581061099334,1
ast_fd6c2781e217,에스와이솔라,,부산광역시 강서구 낙동북로 236,,safe,2644010100116190000,대저1동 1619,road,11,token:부산광역시;token:강서구;token:낙동북로;lot:236,128.95471707351425,35.20967328291486,1
ast_b63d20942515,씨에스에너텍,,"경산시 진량읍 다문로 188-9, 경산시 진량읍 공단6로 42, 42-1",,safe,4729025321111860007,진량읍 신상리 1186-7,road,13,token:경산시;token:진량읍;token:다문로;token:경산시;lot:188-9,128.83209150127004,35.87650350142211,1
ast_74c55ca84e27,원그로브(마곡CP4 복합개발사업),오피스복합,"서울시 강서구 마곡동 769,769-1",,safe,1150010500107690000,서울특별시 강서구 마곡동 769,parcel,10,token:강서구;token:마곡동;lot:769,126.8248082365593,37.561383518730054,1
ast_fb643944b2a8,B스퀘어,오피스,부산광역시 부산진구 중앙대로 639,,safe,2623010400108630001,범천동 863-1,road,11,token:부산광역시;token:부산진구;token:중앙대로;lot:639,129.05877948074672,35.14971549206719,1
ast_7f15dadaebbf,카이트타워 선순위 담보대출,오피스,서울특별시 강남구 테헤란로 306,,safe,1168010100107060001,역삼동 706-1,road,11,token:서울특별시;token:강남구;token:테헤란로;lot:306,127.04395236367787,37.50248290594915,1
ast_0d7b28ca87e1,성수동 오피스 개발사업 선순위 브릿지론,,서울특별시 성동구 성수동2가 279,,safe,1120011500102790000,서울특별시 성동구 성수동2가 279,parcel,12,token:서울특별시;token:성동구;token:성수동2가;lot:2,127.0621981135995,37.54630351556979,1
ast_d2b153d30e56,㈜동방 보유 유엔씨티㈜ 대출채권 매입,,울산광역시 남구 신항로716번길 1(황성동),,safe,3114011400108300000,황성동 830,road,13,token:울산광역시;token:남구;token:신항로716번길;token:황성동;lot:716,129.36389469924748,35.45836242449394,1
ast_6a1d2d5f164d,페어필드 메리어트 서울,호텔,서울 영등포구 경인로 870,,safe,1156010200101430003,영등포동1가 143-3,road,11,token:서울;token:영등포구;token:경인로;lot:870,126.90932189230759,37.51701833308587,1
ast_32b8e4125074,㈜동방 보유 유엔씨티㈜ 대출채권 매입,,울산광역시 남구 신항로716번길 1(황성동),,safe,3114011400108300000,황성동 830,road,13,token:울산광역시;token:남구;token:신항로716번길;token:황성동;lot:716,129.36389469924748,35.45836242449394,1
ast_20f01c104a7a,종로타워,오피스,서울특별시 종로구 종로2가 6,,safe,1111013800100060000,서울특별시 종로구 종로2가 6,parcel,12,token:서울특별시;token:종로구;token:종로2가;lot:2,126.98385022939598,37.5704597722079,1
ast_c28b363f2b5a,페어필드 메리어트 서울,호텔,서울 영등포구 경인로 870,,safe,1156010200101430003,영등포동1가 143-3,road,11,token:서울;token:영등포구;token:경인로;lot:870,126.90932189230759,37.51701833308587,1
ast_d024a0fadf65,캐나다 물류중개업체 인수 관련 국내 SPC 대출채권,,"테헤란로87길 36, 1903호",,safe,1168010500101590000,삼성동 159,road,7,token:테헤란로87길;lot:87,127.05859693940937,37.5102331278461,1
ast_0713581af76f,이지스 130호(모) 제1-1종 수익증권,,서울특별시 중구 청계천로 100,,safe,1114011000100990000,수표동 99,road,11,token:서울특별시;token:중구;token:청계천로;lot:100,126.98811323843287,37.567472802070306,1
ast_da18f033a8bc,이지스 130호(모) 제2-1종 수익증권,,서울특별시 중구 청계천로 100,,safe,1114011000100990000,수표동 99,road,11,token:서울특별시;token:중구;token:청계천로;lot:100,126.98811323843287,37.567472802070306,1
ast_7d6f8cc1d9cb,시그니처타워,,서울특별시 중구 청계천로 100,,safe,1114011000100990000,수표동 99,road,11,token:서울특별시;token:중구;token:청계천로;lot:100,126.98811323843287,37.567472802070306,1
ast_8cec1143f42b,이지스 130호(모) 제1-1종 수익증권,,서울특별시 중구 청계천로 100,,safe,1114011000100990000,수표동 99,road,11,token:서울특별시;token:중구;token:청계천로;lot:100,126.98811323843287,37.567472802070306,1
ast_65a880c4a803,이지스 130호(모) 제2-1종 수익증권,,서울특별시 중구 청계천로 100,,safe,1114011000100990000,수표동 99,road,11,token:서울특별시;token:중구;token:청계천로;lot:100,126.98811323843287,37.567472802070306,1
ast_e99c7779c9b8,두산빌딩,오피스,서울시 강남구 언주로 726(논현동),,safe,1168010800101050007,논현동 105-7,road,11,token:강남구;token:언주로;token:논현동;lot:726,127.03519746408392,37.51938193705722,1
ast_40c746673d87,시그니처타워,,서울특별시 중구 청계천로 100,,safe,1114011000100990000,수표동 99,road,11,token:서울특별시;token:중구;token:청계천로;lot:100,126.98811323843287,37.567472802070306,1
ast_755dc2078b8b,목동 트라팰리스 스퀘어,리테일,"서울시 양천구 목동 962,962-1",,safe,1147010200109620000,서울특별시 양천구 목동 962,parcel,10,token:양천구;token:목동;lot:962,126.87037483334322,37.525973422518575,1
ast_513f15f30c21,강동 성내 역세권 청년주택,주거,서울시 강동구 성내동 87-1번지 일원,,safe,1174010800104310013,성내동 431-13,road,9,token:강동구;token:성내동;lot:87-1,127.13261916908291,37.52676469514746,1
ast_30057bd3458e,여의도 파이낸스타워,,서울특별시 영등포구 국제금융로 2길 32,,safe,1156011000100230008,여의도동 23-8,road,13,token:서울특별시;token:영등포구;token:국제금융로;token:2길;lot:2,126.92412638156779,37.523880250319216,1
ast_51d214497682,삼성동 빌딩,,서울특별시 강남구 삼성로 512,,safe,1168010500101570001,삼성동 157-1,road,11,token:서울특별시;token:강남구;token:삼성로;lot:512,127.05659819782156,37.50810748388635,1
ast_880b26b6e8be,판교아이스퀘어D동,오피스복합,경기도 성남시 수정구 창업로 17,,safe,4113111500103390000,시흥동 339,road,13,token:경기도;token:성남시;token:수정구;token:창업로;lot:17,127.09783108148085,37.41201391397718,1
ast_f2586dff03b4,캐나다 물류중개업체 인수 관련 국내 SPC,,"테헤란로87길 36, 1903호",,safe,1168010500101590000,삼성동 159,road,7,token:테헤란로87길;lot:87,127.05859693940937,37.5102331278461,1
ast_0dba05706295,판교아이스퀘어E동,오피스복합,경기도 성남시 창업로 17,,safe,4113111500103390000,시흥동 339,road,11,token:경기도;token:성남시;token:창업로;lot:17,127.09783108148085,37.41201391397718,1
ast_bb3782e6cd9f,마곡CP4 복합시설 개발,오피스복합,"마곡동 769,769-1",,safe,1150010500107690000,서울특별시 강서구 마곡동 769,parcel,8,token:마곡동;lot:769,126.8248082365593,37.561383518730054,1
ast_2135120fef32,공주시 웅진동 공동주택,주거,충청남도 공주시 웅진동,,safe,4415010700100010001,충청남도 공주시 웅진동 1-1,parcel,8,token:충청남도;token:공주시;token:웅진동,127.1134723846277,36.471642739341476,1
ast_cd00a5beb0b3,밀레니엄힐튼호텔,오피스복합,서울특별시 중구 소월로 50,,safe,1114011800103950000,남대문로5가 395,road,11,token:서울특별시;token:중구;token:소월로;lot:50,126.97559996828966,37.5554685413595,1
ast_992b226b8a43,부림빌딩,오피스,"서울특별시 중구 을지로 1가 42, 을지로1가 71-9번지",,safe,1114010500100010001,서울특별시 중구 을지로2가 1-1,parcel,12,token:서울특별시;token:중구;token:을지로;lot:42,126.98325379585054,37.56623834584635,1
ast_cd18ba041afc,메트로타워,오피스,서울특별시 중구 퇴계로 10,,safe,1114011800105370000,남대문로5가 537,road,11,token:서울특별시;token:중구;token:퇴계로;lot:10,126.97434297461129,37.55626383430488,1
ast_10ad74d3885c,용답동 청년주택 개발사업,,"서울 성동구 용답동 231,231-1번지",,safe,1120012200102310000,서울특별시 성동구 용답동 231,parcel,12,token:서울;token:성동구;token:용답동;lot:231,127.06353220730699,37.560627395430146,1
ast_e28d1ea3fa3e,분당Hostway IDC,,분당구 장미로 36,,safe,4113510700103430001,야탑동 343-1,road,9,token:분당구;token:장미로;lot:36,127.12450125490713,37.41352131429935,1
ast_6b3f8d30ec34,"이지스411호(200호 재간접, 디어스 판교)",,경기도 성남시 수정구 대왕판교로 815,,safe,4113111500103210000,시흥동 321,road,13,token:경기도;token:성남시;token:수정구;token:대왕판교로;lot:815,127.0997889989606,37.41372259083337,1
ast_2e88e9b329e3,이지스200호(디어스 판교),,경기도 성남시 수정구 대왕판교로 815,,safe,4113111500103210000,시흥동 321,road,13,token:경기도;token:성남시;token:수정구;token:대왕판교로;lot:815,127.0997889989606,37.41372259083337,1
ast_62878f0c6996,"용답동 231, 231-1 공동주택 및 근린생활시설",오피스,"서울특별시 성동구 용답동 231, 231-1번지",,safe,1120012200102310000,서울특별시 성동구 용답동 231,parcel,12,token:서울특별시;token:성동구;token:용답동;lot:231,127.06353220730699,37.560627395430146,1
ast_022d4816897f,여의도 파이낸스타워,,서울특별시 영등포구 국제금융로 2길 32,,safe,1156011000100230008,여의도동 23-8,road,13,token:서울특별시;token:영등포구;token:국제금융로;token:2길;lot:2,126.92412638156779,37.523880250319216,1
ast_866314e4db59,삼성동 빌딩,,서울특별시 강남구 삼성로 512,,safe,1168010500101570001,삼성동 157-1,road,11,token:서울특별시;token:강남구;token:삼성로;lot:512,127.05659819782156,37.50810748388635,1
ast_2e5bd324e0df,마곡CP4 복합시설 개발,오피스복합,"마곡동 769,769-1",,safe,1150010500107690000,서울특별시 강서구 마곡동 769,parcel,8,token:마곡동;lot:769,126.8248082365593,37.561383518730054,1
ast_4b5c26617588,공주시 웅진동 공동주택,주거,충청남도 공주시 웅진동,,safe,4415010700100010001,충청남도 공주시 웅진동 1-1,parcel,8,token:충청남도;token:공주시;token:웅진동,127.1134723846277,36.471642739341476,1
ast_a4549cd85c41,밀레니엄힐튼호텔,오피스복합,서울특별시 중구 소월로 50,,safe,1114011800103950000,남대문로5가 395,road,11,token:서울특별시;token:중구;token:소월로;lot:50,126.97559996828966,37.5554685413595,1
ast_ba5f85af264f,부림빌딩,오피스,"서울특별시 중구 을지로 1가 42, 을지로1가 71-9번지",,safe,1114010500100010001,서울특별시 중구 을지로2가 1-1,parcel,12,token:서울특별시;token:중구;token:을지로;lot:42,126.98325379585054,37.56623834584635,1
ast_2c946ed0b0fa,메트로타워,오피스,서울특별시 중구 퇴계로 10,,safe,1114011800105370000,남대문로5가 537,road,11,token:서울특별시;token:중구;token:퇴계로;lot:10,126.97434297461129,37.55626383430488,1
ast_24f9e46b72d9,용답동 청년주택 개발사업,,"서울 성동구 용답동 231,231-1번지",,safe,1120012200102310000,서울특별시 성동구 용답동 231,parcel,12,token:서울;token:성동구;token:용답동;lot:231,127.06353220730699,37.560627395430146,1
ast_df61856e9446,분당Hostway IDC,,분당구 장미로 36,,safe,4113510700103430001,야탑동 343-1,road,9,token:분당구;token:장미로;lot:36,127.12450125490713,37.41352131429935,1
ast_c390565c53af,이지스200호(디어스 판교),,경기도 성남시 수정구 대왕판교로 815,,safe,4113111500103210000,시흥동 321,road,13,token:경기도;token:성남시;token:수정구;token:대왕판교로;lot:815,127.0997889989606,37.41372259083337,1
ast_0eb50d2cf958,"이지스411호(200호 재간접, 디어스 판교)",,경기도 성남시 수정구 대왕판교로 815,,safe,4113111500103210000,시흥동 321,road,13,token:경기도;token:성남시;token:수정구;token:대왕판교로;lot:815,127.0997889989606,37.41372259083337,1
ast_c1aba7a35f32,"용답동 231, 231-1 공동주택 및 근린생활시설",오피스,"서울특별시 성동구 용답동 231, 231-1번지",,safe,1120012200102310000,서울특별시 성동구 용답동 231,parcel,12,token:서울특별시;token:성동구;token:용답동;lot:231,127.06353220730699,37.560627395430146,1
